Model,Image,Size,Refresh Rate,Resolution,Display Type,Surface,Ratio,PPI,Nits,CPU,GPU,Weight,Height,Price (RRP)
Asus TUF Gaming F17 FX706HM-HX004,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i7-11800H,GeForce RTX 3060 Laptop GPU,2.6 kg,26 mm,1500 Euro
Asus TUF Gaming F17 FX706HM-HX059,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i7-11800H,GeForce RTX 3060 Laptop GPU,2.6 kg,26 mm,
Asus TUF Gaming F17 FX706HM-HX116R,,"17.30""",144 Hz,3840x2160,IPS,matte,16:9,255 PPI,,i7-11800H,GeForce RTX 3060 Laptop GPU,2.6 kg,26 mm,2050 Euro
Asus TUF Gaming F17 FX706LI-HX177T,,"17.30""",120 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i7-10870H,GeForce GTX 1650 Ti Mobile,2.6 kg,26 mm,
Asus TUF Gaming F17 FX707VU,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i7-13620H,NVIDIA GeForce RTX 4050 Laptop GPU,2.6 kg,25.4 mm,
Asus TUF Gaming F17 FX707VV,,"17.30""",240 Hz,2560x1440,IPS,matte,16:9,170 PPI,,i9-13900H,NVIDIA GeForce RTX 4060 Laptop GPU,2.6 kg,25.4 mm,
Asus TUF Gaming F17 FX707Z-HX011W,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,268 cd/m²,i7-12700H,GeForce RTX 3060 Laptop GPU,2.5 kg,25 mm,1750 Euro
Asus TUF Gaming GeForce RTX 4070 Ti,,"28.00""",144 Hz,3840x2160,,matte,16:9,157 PPI,,i9-13900K,NVIDIA GeForce RTX 4070 Ti,,,
Asus TUF Gaming GeForce RTX 4070 Ti Super,,"28.00""",144 Hz,3840x2160,,matte,16:9,157 PPI,,i9-13900K,NVIDIA GeForce RTX 4070 Ti SUPER,,,
"Asus Vivobook 14 X1405ZA, i5-1235U",,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,i5-1235U,Iris Xe G7 80EUs,1.6 kg,19.9 mm,
"Asus Vivobook 14X A1403, i5-12500H",,"14.00""",090 Hz,2880x1800,OLED,,16:10,243 PPI,,i5-12500H,Iris Xe G7 80EUs,1.6 kg,19.9 mm,
Asus VivoBook 14X K3405,,"14.00""",090 Hz,2880x1800,,glossy,16:10,243 PPI,364 cd/m²,i5-13500H,GeForce RTX 3050 4GB Laptop GPU,1.4 kg,18.9 mm,1104 EUR
Asus Vivobook 14X K3405VC,,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,i9-13900H,GeForce RTX 3050 4GB Laptop GPU,1.4 kg,18.9 mm,
Asus Vivobook 14X K3405ZF,,"14.50""",090 Hz,2880x1800,OLED,,16:10,234 PPI,,i5-12500H,GeForce RTX 2050 Mobile,1.4 kg,18.9 mm,
Asus Vivobook 14X OLED S3405VA,,"14.00""",090 Hz,2880x1800,OLED,,16:10,243 PPI,,i5-13500H,Iris Xe G7 80EUs,1.4 kg,18.9 mm,
Asus VivoBook 14X S3405,,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,i9-13900H,Iris Xe G7 96EUs,1.4 kg,18.9 mm,
Asus VivoBook 15 K571LI-PB71,,"15.60""",120 Hz,1920x1080,IPS,matte,16:9,141 PPI,246 cd/m²,i7-10750H,GeForce GTX 1650 Ti Mobile,2.1 kg,21.9 mm,1100 USD
Asus Vivobook 15X K3504VA,,"15.60""",120 Hz,2880x1620,,glossy,16:9,212 PPI,,i7-1360P,Iris Xe G7 96EUs,1.6 kg,17.9 mm,
"Asus Vivobook 15X K3504VA, i7-1355U",,"15.60""",120 Hz,2880x1620,,glossy,16:9,212 PPI,,i7-1355U,Iris Xe G7 96EUs,1.6 kg,17.9 mm,
"Asus Vivobook 15X M1503, R5 5600H",,"15.60""",120 Hz,2880x1620,OLED,glossy,16:9,212 PPI,,R5 5600H,Vega 7,1.7 kg,19.9 mm,
Asus Vivobook 16X K3605ZC,,"16.00""",120 Hz,1920x1080,IPS,,16:9,138 PPI,,i7-12650H,GeForce RTX 3050 4GB Laptop GPU,1.8 kg,18.9 mm,
Asus VivoBook 16X K3605ZF,,"16.00""",120 Hz,1920x1200,,glossy,16:10,142 PPI,,i7-12650H,GeForce RTX 2050 Mobile,1.8 kg,18.9 mm,
"Asus VivoBook 16X K3605ZF, i5-12450H",,"16.00""",120 Hz,1920x1200,,glossy,16:10,142 PPI,,i5-12450H,GeForce RTX 2050 Mobile,1.8 kg,18.9 mm,
Asus Vivobook 16X K3605ZU,,"16.00""",120 Hz,1920x1200,,,16:10,142 PPI,,i7-12650H,NVIDIA GeForce RTX 4050 Laptop GPU,1.8 kg,18.9 mm,
Asus VivoBook 16X OLED K3605VV,,"16.00""",120 Hz,3200x2000,OLED,glossy,16:10,236 PPI,,i9-13900H,NVIDIA GeForce RTX 4060 Laptop GPU,1.8 kg,18.9 mm,
"Asus Vivobook Pro 14 K3400, i5-11300H GTX 1650",,"14.00""",090 Hz,2800x1800,OLED,glossy,16:10,238 PPI,,i5-11300H,GeForce GTX 1650 Mobile,1.4 kg,19.2 mm,
"Asus Vivobook Pro 14 K3400PA, i7-11370H",,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,i7-11370H,Iris Xe G7 96EUs,1.4 kg,19.3 mm,
"Asus Vivobook Pro 14 M3401, 5900HX",,"14.00""",090 Hz,2880x1800,OLED,,16:10,243 PPI,,R9 5900HX,GeForce RTX 3050 4GB Laptop GPU,1.4 kg,19.3 mm,
Asus Vivobook Pro 14 M3401QC-KM007T,,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,385 cd/m²,R5 5600H,GeForce RTX 3050 4GB Laptop GPU,1.5 kg,19 mm,
Asus VivoBook Pro 14 M3401QC-KM007W,,"14.00""",090 Hz,2880x1080,OLED,glossy,16:10,220 PPI,,R5 5600H,GeForce RTX 3050 4GB Laptop GPU,1.5 kg,19.2 mm,1000 Euro
"Asus Vivobook Pro 14X M7400, 5800H 3050",,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,R7 5800H,GeForce RTX 3050 4GB Laptop GPU,1.5 kg,17.9 mm,
"Asus Vivobook Pro 14X M7400, 5800H 3050 Ti",,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,R7 5800H,GeForce RTX 3050 Ti Laptop GPU,1.5 kg,17.9 mm,
"Asus Vivobook Pro 14X M7400, 5900HX 3050",,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,R9 5900HX,GeForce RTX 3050 4GB Laptop GPU,1.5 kg,17.9 mm,
"Asus Vivobook Pro 14X M7400, 5900HX 3050 Ti",,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,R9 5900HX,GeForce RTX 3050 Ti Laptop GPU,1.5 kg,17.9 mm,
"Asus VivoBook Pro 14X M7400QC, 5600H RTX 3050",,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,R5 5600H,GeForce RTX 3050 4GB Laptop GPU,1.5 kg,17.9 mm,1100 Euro
Asus Vivobook Pro 14X M7400QC-KM018,,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,R7 5800H,GeForce RTX 3050 4GB Laptop GPU,1.5 kg,17.9 mm,1200 Euro
"Asus VivoBook Pro 14X N7400, i5-11300H RTX 3050",,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,i5-11300H,GeForce RTX 3050 4GB Laptop GPU,1.5 kg,17.9 mm,
Asus VivoBook Pro 14X N7400PC-KM012T,,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,i7-11370H,GeForce RTX 3050 4GB Laptop GPU,1.5 kg,17.9 mm,
Asus VivoBook Pro 14X N7400PC-KM142W,,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,i7-11370H,GeForce RTX 3050 4GB Laptop GPU,1.5 kg,17.9 mm,1650 Euro
Asus Vivobook Pro 14X N7401ZE,,"14.50""",120 Hz,2880x1800,OLED,glossy,16:10,234 PPI,,i7-12700H,GeForce RTX 3050 Ti Laptop GPU,1.7 kg,17.9 mm,
Asus Vivobook Pro 15 K6501ZM,,"15.60""",120 Hz,2880x1620,OLED,,16:9,212 PPI,,i7-12650H,GeForce RTX 3060 Laptop GPU,2.1 kg,20.9 mm,
"Asus Vivobook Pro 15 K6502, i5-12450H RTX 3050",,"15.60""",120 Hz,2880x1620,OLED,glossy,16:9,212 PPI,,i5-12450H,GeForce RTX 3050 4GB Laptop GPU,1.8 kg,20 mm,
"Asus Vivobook Pro 15 K6502, i7-12700H RTX 3050",,"15.60""",120 Hz,2880x1620,OLED,glossy,16:9,212 PPI,,i7-12700H,GeForce RTX 3050 4GB Laptop GPU,1.8 kg,20 mm,
"Asus Vivobook Pro 15 K6502, i7-13650HX RTX 3050",,"15.60""",120 Hz,2880x1620,OLED,,16:9,212 PPI,,i7-13650HX,GeForce RTX 3050 4GB Laptop GPU,1.8 kg,20 mm,
"Asus Vivobook Pro 15 K6502, i9-11900H RTX 3050",,"15.60""",120 Hz,2880x1620,OLED,glossy,16:9,212 PPI,,i9-11900H,GeForce RTX 3050 4GB Laptop GPU,1.8 kg,20 mm,
Asus VivoBook Pro 15 M6500XV,,"15.60""",120 Hz,2880x1620,OLED,glossy,16:9,212 PPI,,R9 7940HS,NVIDIA GeForce RTX 4060 Laptop GPU,1.8 kg,19.9 mm,1800 Euro
Asus VivoBook Pro 15 OLED K6502VU,,"15.60""",120 Hz,2880x1620,,glossy,16:9,212 PPI,,i9-13900H,NVIDIA GeForce RTX 4050 Laptop GPU,1.8 kg,20 mm,
Asus Vivobook Pro 15 OLED N6506,,"15.60""",120 Hz,2880x1620,OLED,glossy,16:9,212 PPI,,Ultra 9 185H,NVIDIA GeForce RTX 4060 Laptop GPU,1.8 kg,19.9 mm,
"Asus VivoBook Pro 15 OLED N6506, Ultra 5 125H",,"15.60""",120 Hz,2880x1620,OLED,glossy,16:9,212 PPI,,Ultra 5 125H,NVIDIA GeForce RTX 4060 Laptop GPU,1.8 kg,19.9 mm,
Asus VivoBook Pro 15 OLED N6506M,,"15.60""",120 Hz,2880x1620,OLED,glossy,16:9,212 PPI,,Ultra 7 155H,NVIDIA GeForce RTX 4060 Laptop GPU,1.8 kg,19.9 mm,
Asus VivoBook Pro 16,,"16.00""",120 Hz,2560x1600,IPS,matte,16:10,189 PPI,465 cd/m²,i7-12700H,GeForce RTX 3050 Ti Laptop GPU,1.9 kg,20 mm,1499 Euro
"Asus Vivobook Pro 16 K6602HC, i9-11900H RTX 3050",,"16.00""",120 Hz,1920x1080,IPS,,16:9,138 PPI,,i9-11900H,GeForce RTX 3050 4GB Laptop GPU,1.9 kg,20 mm,
Asus VivoBook Pro 16 K6602VU,,"16.00""",120 Hz,3200x2000,OLED,glossy,16:10,236 PPI,354 cd/m²,i9-13900H,NVIDIA GeForce RTX 4050 Laptop GPU,1.9 kg,19 mm,2199 EUR
Asus VivoBook Pro 16 K6602ZC,,"16.00""",120 Hz,3200x2000,OLED,,16:10,236 PPI,,i5-12450H,GeForce RTX 3050 4GB Laptop GPU,1.9 kg,20 mm,1300 Euro
Asus VivoBook Pro 16 OLED K6602V,,"16.00""",120 Hz,3200x2000,OLED,glossy,16:10,236 PPI,,i9-13900H,NVIDIA GeForce RTX 4050 Laptop GPU,1.9 kg,20 mm,2300 Euro
Asus VivoBook Pro 16 OLED K6602VV,,"16.00""",120 Hz,3200x2000,OLED,matte,16:10,236 PPI,,i9-13900H,NVIDIA GeForce RTX 4060 Laptop GPU,1.9 kg,20 mm,1900 Euro
Asus VivoBook Pro 16 OLED K6604JI,,"16.00""",120 Hz,3200x2000,OLED,glossy,16:10,236 PPI,,i9-13980HX,NVIDIA GeForce RTX 4070 Laptop GPU,2 kg,21.9 mm,3000 Euro
Asus VivoBook Pro 16X K6604JV,,"16.00""",120 Hz,3200x2000,OLED,glossy,16:10,236 PPI,,i9-13980HX,NVIDIA GeForce RTX 4060 Laptop GPU,1.9 kg,21.9 mm,2000 Euro
Asus Vivobook Pro 16X K6604JV-MX016W,,"16.00""",120 Hz,3200x2000,OLED,glossy,16:10,236 PPI,346 cd/m²,i9-13980HX,NVIDIA GeForce RTX 4060 Laptop GPU,2.1 kg,22.8 mm,2700 Euro
Asus Vivobook Pro 16X K6604JV-MX016W,,"16.00""",120 Hz,3200x2000,,glossy,16:10,236 PPI,,i9-13980HX,NVIDIA GeForce RTX 4060 Laptop GPU,,,
"Asus Vivobook Pro 16X M7600, 5800H 3050",,"16.00""",120 Hz,2560x1600,OLED,glossy,16:10,189 PPI,,R7 5800H,GeForce RTX 3050 4GB Laptop GPU,2 kg,18.9 mm,
"Asus Vivobook Pro 16X M7600, 5900HX 3050 Ti",,"16.00""",120 Hz,2560x1600,OLED,matte,16:10,189 PPI,,R9 5900HX,GeForce RTX 3050 Ti Laptop GPU,2 kg,18.9 mm,
Asus VivoBook Pro 16X N7600PC-L2010W,,"16.10""",120 Hz,3840x2400,,glossy,16:10,281 PPI,,i7-11370H,GeForce RTX 3050 4GB Laptop GPU,2 kg,18.9 mm,1300 Euro
"Asus Vivobook S 14 Flip TP3402VA, i9-13900H",,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,i9-13900H,Iris Xe G7 96EUs,1.5 kg,18.9 mm,
"Asus Vivobook S 14 K3402ZA, i5-12500H",,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,i5-12500H,Iris Xe G7 80EUs,1.5 kg,18.9 mm,
"Asus Vivobook S 14 K3402ZA, i7-12700H",,"14.00""",090 Hz,2880x1800,OLED,glossy,16:9,243 PPI,,i7-12700H,Iris Xe G7 96EUs,1.5 kg,18.9 mm,900 Euro
Asus Vivobook S 14 OLED K5404VA,,"14.50""",120 Hz,2880x1800,OLED,,16:10,234 PPI,,i9-13900H,Iris Xe G7 96EUs,1.5 kg,17.9 mm,
Asus Vivobook S 14 OLED M5406UA,,"14.00""",120 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,R7 8845HS,Radeon 780M,1.3 kg,15.9 mm,
Asus VivoBook S 14 OLED S5406MA,,"14.00""",120 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,Ultra 5 125H,Arc 7-Core,1.3 kg,15.9 mm,
"Asus VivoBook S 14 OLED S5406MA, Ultra 7 155H",,"14.00""",120 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,Ultra 7 155H,Arc 8-Core,1.3 kg,15.9 mm,
"Asus VivoBook S 14 OLED S5406MA, Ultra 9 185H",,"14.00""",120 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,Ultra 9 185H,Arc 8-Core,1.3 kg,15.9 mm,
Asus VivoBook S 14 OLED S5406UA,,"14.00""",120 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,R9 8945HS,Radeon 780M,1.3 kg,15.9 mm,
"Asus VivoBook S 14 S3402, i7-12500H",,"14.00""",090 Hz,2880x1800,OLED,,16:10,243 PPI,,i5-12500H,Iris Xe G7 80EUs,1.5 kg,18.9 mm,
Asus VivoBook S 14X S5402Z,,"14.50""",120 Hz,2880x1800,OLED,glossy,16:10,234 PPI,375 cd/m²,i7-12700H,Iris Xe G7 96EUs,1.6 kg,17.9 mm,1100 USD
Asus Vivobook S 15 OLED M5506NA,,"15.60""",120 Hz,2880x1620,OLED,glossy,16:9,212 PPI,,R5 7535HS,Radeon 660M,1.5 kg,15.9 mm,
Asus Vivobook S 15 OLED Snapdragon,,"15.60""",120 Hz,2880x1620,OLED,glossy,16:9,212 PPI,379 cd/m²,SD X Elite X1E-78-100,Adreno X1-85 3.8 TFLOPS,1.4 kg,15.9 mm,1299 Euro
Asus VivoBook S 15 Snapdragon 8-Core,,"15.60""",120 Hz,2880x1620,,,16:9,,,SD X Plus X1P-42-100,Adreno X1-45,1.4 kg,15.9 mm,1149 Euro
Asus VivoBook S14 OLED M3402RA,,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,R7 6800H,Radeon 680M,1.4 kg,18.9 mm,1150 Euro
Asus VivoBook S15 K5504,,"15.60""",120 Hz,2880x1620,OLED,glossy,16:9,,376 cd/m²,i9-13900H,Iris Xe G7 96EUs,1.6 kg,19 mm,1499 Euro
Asus VivoBook S15 OLED K5504,,"15.60""",120 Hz,2880x1620,OLED,glossy,16:9,212 PPI,,i7-13700H,A350M,1.7 kg,17.9 mm,
"Asus VivoBook S15 OLED K5504, i9-13900H",,"15.60""",120 Hz,2880x1620,OLED,glossy,16:9,212 PPI,,i9-13900H,Iris Xe G7 96EUs,1.8 kg,17.9 mm,1300 Euro
Asus VivoBook S15 OLED K5504VA,,"15.60""",120 Hz,2880x1620,OLED,glossy,16:9,212 PPI,,i5-13500H,Iris Xe G7 96EUs,1.8 kg,17.9 mm,1500 Euro
Asus Vivobook S15 OLED S5507,,"15.60""",120 Hz,2880x1620,OLED,glossy,16:9,212 PPI,,SD X Elite X1E-78-100,Adreno X1-85 3.8 TFLOPS,1.4 kg,15.9 mm,
Asus Vivobook S16 S5606M, ,"16.00""",120 Hz,3200x2000,OLED,glossy,16:10,236 PPI,,Ultra 7 155H,Arc 8-Core,1.6 kg,16 mm,
Asus ZenBook 14 Flip OLED UN5401QA-K181W,,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,R9 5900HX,Vega 8,1.4 kg,15.9 mm,1250 Euro
Asus Zenbook 14 Flip UP3404VA,,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,i5-1340P,Iris Xe G7 80EUs,1.5 kg,15.9 mm,
Asus Zenbook 14 Flip UP3404VA-KN026W,,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,i7-1360P,Iris Xe G7 96EUs,1.5 kg,15.9 mm,2100 Euro
"Asus Zenbook 14 Q409ZA, i5-1240P",,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,i5-1240P,Iris Xe G7 80EUs,1.4 kg,16.9 mm,
Asus ZenBook 14 UM3402Y,,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,339 cd/m²,R7 7730U,Vega 8,1.4 kg,16.9 mm,870 USD
"Asus ZenBook 14 UM3402YA, R5 7530U",,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,R5 7530U,Vega 7,1.4 kg,16.9 mm,
Asus ZenBook 14 UM3402YA-KM063W,,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,R5 5625U,Vega 7,1.4 kg,16.9 mm,
Asus ZenBook 14 UM3402YA-KM067W,,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,R7 5825U,Vega 8,1.4 kg,16.9 mm,1160 Euro
Asus ZenBook 14 UM3402YA-KM115W,,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,R7 5825U,Vega 8,1.4 kg,16.9 mm,
Asus ZenBook 14 UM3402YA-KM452W,,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,R7 7730U,Vega 8,1.4 kg,16.9 mm,1150 Euro
"Asus Zenbook 14 UX3402, i7-1260P",,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,i7-1260P,Iris Xe G7 96EUs,1.4 kg,16.9 mm,
Asus Zenbook 14 UX3402VA,,"14.00""",090 Hz,2880x1800,OLED,,16:10,243 PPI,,i5-1340P,Iris Xe G7 80EUs,1.4 kg,16.9 mm,
"Asus Zenbook 14 UX3402VA, i7-1360P",,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,i7-1360P,Iris Xe G7 96EUs,1.4 kg,16.9 mm,1300 Euro
"Asus Zenbook 14 UX3402ZA, i5-1240P",,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,i5-1240P,Iris Xe G7 80EUs,1.4 kg,16.9 mm,
Asus ZenBook 14 UX3405MA,,"14.00""",120 Hz,2880x1800,OLED,glossy,16:10,243 PPI,392 cd/m²,Ultra 7 155H,Arc 8-Core,1.2 kg,14.9 mm,1600 Euro
"Asus ZenBook 14 UX3405MA, Ultra 9",,"14.00""",120 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,Ultra 9 185H,Arc 8-Core,1.2 kg,14.9 mm,
"Asus Zenbook 14X OLED Space Edition, i7-12700H",,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,i7-12700H,Iris Xe G7 96EUs,1.4 kg,15.9 mm,
Asus Zenbook 14X OLED UX3404VA,,"14.50""",120 Hz,2880x1800,OLED,glossy,16:10,234 PPI,,i7-13700H,Iris Xe G7 96EUs,1.6 kg,16.9 mm,
"Asus Zenbook 14X OLED UX3404VA, i5-13500H", ,"14.50""",120 Hz,2880x1800,OLED,,16:10,234 PPI,,i5-13500H,Iris Xe G7 80EUs,1.6 kg,16.9 mm,
"Asus ZenBook 14X OLED UX3404VA, i9-13900H",,"14.50""",120 Hz,2880x1800,OLED,glossy,16:10,234 PPI,,i9-13900H,Iris Xe G7 96EUs,1.6 kg,16.9 mm,1250 Euro
Asus ZenBook 14X OLED UX5400EA-L7154W,,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,348 cd/m²,i7-1165G7,GeForce MX450,1.4 kg,16.9 mm,
"Asus ZenBook 14X UM5401, 5800H",,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,R7 5800H,Vega 8,1.4 kg,15.9 mm,1000 Euro
Asus ZenBook 14X UM5401QA-KN162,,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,367 cd/m²,R7 5800H,Vega 8,1.4 kg,15.9 mm,
Asus ZenBook 14X UX3404VC,,"14.50""",120 Hz,2880x1800,OLED,glossy,16:10,234 PPI,376 cd/m²,i9-13900H,Iris Xe G7 96EUs,1.6 kg,16.9 mm,1699 Euro
"Asus Zenbook 14X UX3404VC, i7-13700H",,"14.50""",120 Hz,2880x1800,OLED,glossy,16:10,234 PPI,,i7-13700H,GeForce RTX 3050 4GB Laptop GPU,1.6 kg,16.9 mm,
Asus Zenbook 14X UX3404VC-M3145X,,"14.50""",120 Hz,2880x1800,OLED,glossy,16:10,234 PPI,,i9-13900H,GeForce RTX 3050 4GB Laptop GPU,1.6 kg,16.9 mm,2200 Euro
Asus Zenbook 14X UX5400E,,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,381 cd/m²,i7-1165G7,GeForce MX450,1.4 kg,16.9 mm,
"Asus Zenbook 14X UX5400EG, i5-1135G7",,"14.00""",090 Hz,2880x1800,OLED,,16:10,243 PPI,,i5-1135G7,GeForce MX450,1.4 kg,16.9 mm,
Asus ZenBook 14X UX5401ZA-L7078W,,"14.00""",090 Hz,2880x1800,OLED,,16:10,243 PPI,,i9-12900H,Iris Xe G7 96EUs,1.4 kg,16.9 mm,1800 Euro
Asus Zenbook 15 OLED UM3504DA,,"15.60""",120 Hz,2880x1620,OLED,glossy,16:9,212 PPI,,R7 7735U,Radeon 680M,1.4 kg,15.8 mm,
Asus Zenbook Duo OLED UX8406MA,,"14.00""",120 Hz,2880x1800,OLED,glossy,16:10,243 PPI,384 cd/m²,Ultra 9 185H,Arc 8-Core,1.7 kg,19.9 mm,2499 Euro
Asus ZenBook Flip 14 UN5401QA-KN085W,,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,369 cd/m²,R7 5800H,Vega 8,1.4 kg,15.9 mm,1299 Euro
Asus ZenBook Flip 14 UN5401QA-KN085W,,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,371 cd/m²,R7 5800H,Vega 8,1.4 kg,17.2 mm,1.3 Euro
Asus ZenBook Flip 15 Q539ZD,,"15.60""",120 Hz,2880x1620,OLED,glossy,16:9,212 PPI,344 cd/m²,i7-12700H,A370M,1.8 kg,18.9 mm,1400 USD
Asus Zenbook Pro 14 Duo OLED UX8402ZA,,"14.50""",120 Hz,2880x1800,OLED,glossy,16:10,234 PPI,357 cd/m²,i7-12700H,Iris Xe G7 96EUs,1.7 kg,19.6 mm,1900 Euro
Asus Zenbook Pro 14 Duo OLED UX8402ZA,,"14.50""",120 Hz,2880x1800,OLED,glossy,16:10,234 PPI,,i7-12700H,Iris Xe G7 96EUs,1.7 kg,19.6 mm,1 Euro
Asus Zenbook Pro 14 Duo OLED UX8402ZA,,"12.70""",120 Hz,2880x864,,matte,,237 PPI,566 cd/m²,,,,,
Asus ZenBook Pro 14 Duo UX8402VU,,"14.50""",120 Hz,2880x1800,AMOLED,glossy,16:10,234 PPI,,i9-13900H,NVIDIA GeForce RTX 4050 Laptop GPU,1.8 kg,19.6 mm,3000 Euro
Asus ZenBook Pro 14 Duo UX8402VV,,"14.50""",120 Hz,2880x1800,OLED,glossy,16:10,234 PPI,,i7-13700H,NVIDIA GeForce RTX 4060 Laptop GPU,1.8 kg,19.6 mm,
Asus ZenBook Pro 14 Duo UX8402VV-P1021W,,"14.50""",120 Hz,2880x1800,OLED,glossy,16:10,243 PPI,340 cd/m²,i9-13900H,NVIDIA GeForce RTX 4060 Laptop GPU,1.8 kg,21 mm,2349 Euro
Asus Zenbook Pro 14 Duo UX8402ZE-M3030W,,"14.50""",120 Hz,2880x1800,OLED,glossy,16:10,234 PPI,,i9-12900H,GeForce RTX 3050 Ti Laptop GPU,1.8 kg,19.6 mm,2600 Euro
Asus ZenBook Pro 14 Duo UX8402ZE-M3075W,,"14.00""",120 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,i7-12700H,GeForce RTX 3050 Ti Laptop GPU,1.8 kg,19.6 mm,
Asus Zenbook Pro 14 OLED UX6404VI,,"14.50""",120 Hz,2880x1800,OLED,glossy,16:10,234 PPI,358 cd/m²,i9-13900H,NVIDIA GeForce RTX 4070 Laptop GPU,1.7 kg,17.9 mm,3499 Euro
Asus Zenbook Pro 14 OLED UX6404VV,,"14.50""",120 Hz,2880x1800,OLED,glossy,16:10,234 PPI,,i9-13900H,NVIDIA GeForce RTX 4060 Laptop GPU,1.6 kg,17.9 mm,
"Asus Zenbook Pro 14 OLED UX6404VV, i5-13500H",,"14.50""",120 Hz,2880x1800,OLED,glossy,16:10,234 PPI,,i5-13500H,NVIDIA GeForce RTX 4060 Laptop GPU,1.6 kg,17.9 mm,
"Asus Zenbook Pro 14 OLED UX6404VV, i7-13700H",,"14.50""",120 Hz,2880x1800,OLED,glossy,16:10,234 PPI,,i7-13700H,NVIDIA GeForce RTX 4060 Laptop GPU,1.6 kg,17.9 mm,
"Asus ZenBook Pro 15 Flip UP6502ZD, i7-12700H",,"15.60""",120 Hz,2880x1620,OLED,glossy,16:9,212 PPI,,i7-12700H,A370M,1.8 kg,18.9 mm,
Asus ZenBook Pro 16X OLED UX7602,,"16.00""",120 Hz,3200x2000,OLED,glossy,16:10,236 PPI,,i9-13905H,NVIDIA GeForce RTX 4080 Laptop GPU,2.2 kg,16.9 mm,
Asus ZenBook Pro 16X OLED UX7602BZ,,"16.00""",120 Hz,3200x2000,OLED,glossy,16:10,236 PPI,,i9-13900H,NVIDIA GeForce RTX 4080 Laptop GPU,2.2 kg,16.9 mm,4800 Euro
Asus Zenbook Pro 16X UX7602BZ-MY005W,,"16.00""",120 Hz,3200x2000,OLED,glossy,16:10,,334 cd/m²,i9-13905H,NVIDIA GeForce RTX 4080 Laptop GPU,2.4 kg,17.8 mm,4500 Euro
