Model,Image,Size,Refresh Rate,Resolution,Display Type,Surface,Ratio,PPI,Nits,CPU,GPU,Weight,Height,Price (RRP)
Acer Nitro 5 AN515-58-74JS,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-12700H,GeForce RTX 3060 Laptop GPU,2.5 kg,26.9 mm,1350 Euro
Acer Nitro 5 AN515-58-7571,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-12700H,GeForce RTX 3060 Laptop GPU,2.5 kg,26.9 mm,1000 Euro
Acer Nitro 5 AN515-58-75UH,,"15.60""",165 Hz,1920x1080,IPS,,16:9,141 PPI,,i7-12700H,GeForce RTX 3070 Ti Laptop GPU,2.5 kg,26.9 mm,
Acer Nitro 5 AN515-58-77YB,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-12700H,GeForce RTX 3050 Ti Laptop GPU,2.5 kg,26.9 mm,2000 Euro
Acer Nitro 5 AN515-58-781E,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-12700H,GeForce RTX 3050 4GB Laptop GPU,2.5 kg,26.9 mm,
Acer Nitro 5 AN515-58-78QQ,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-12700H,GeForce RTX 3060 Laptop GPU,2.5 kg,26.9 mm,
Acer Nitro 5 AN515-58-NH.QFKEK.001,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-12500H,GeForce RTX 3050 Ti Laptop GPU,2.5 kg,26.9 mm,
Acer Nitro 5 AN517-41-R2BF,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,R7 5800H,GeForce RTX 3060 Laptop GPU,2.7 kg,24.9 mm,
Acer Nitro 5 AN517-41-R2DT,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,R7 5800H,GeForce RTX 3070 Laptop GPU,2.7 kg,24.9 mm,2500 Euro
Acer Nitro 5 AN517-41-R37U,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,R7 5800H,GeForce RTX 3070 Laptop GPU,2.7 kg,24.9 mm,1100 Euro
Acer Nitro 5 AN517-41-R3FK,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,249 cd/m²,R7 5800H,GeForce GTX 1650 Mobile,2.7 kg,24.9 mm,
Acer Nitro 5 AN517-41-R4DH,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,R7 5800H,GeForce RTX 3060 Laptop GPU,2.7 kg,24.9 mm,1300 Euro
Acer Nitro 5 AN517-41-R5Z7,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,255 cd/m²,R7 5800H,GeForce RTX 3070 Laptop GPU,2.7 kg,24.9 mm,1499 Euro
Acer Nitro 5 AN517-41-R5Z7,,"17.30""",144 Hz,1920x1080,,matte,16:9,127 PPI,,R7 5800H,GeForce RTX 3070 Laptop GPU,,,
Acer Nitro 5 AN517-41-R7L9,,"17.30""",165 Hz,2560x1440,IPS,matte,16:9,170 PPI,,R9 5900HX,GeForce RTX 3080 Laptop GPU,2.7 kg,24.9 mm,2400 Euro
